Category,Question1,Answer1,Question2,Answer2,Question3,Answer3
Name 3:,Jagariko flavors,,MLB teams,,Countries that start with C,
How many:,Legs on a spider,8,Othello game pieces,64,Landlocked prefectures,
Which Prefecture?,Love Princess,Ehime,Mountain Pear,Yamanashi,Thorn Castle,Ibaraki
Acronyms (頭字語）,OMG,Oh My God/Gosh,RPG,Role-Playing Game,DIY,Do It Yourself
Special Dates,November 11th,Pockey Day,March 9th,Thank You Day,May 30th,Gomi Zero Day
Disney Sidekicks:,Flounder,Ariel,Pascal,Rapunzel,Pua-Heihei,Moana
#1 Ranking,Umaibo flavor,Corn Portage,Sanrio Character,Cinnamoroll,Manga,One Piece
Most popular sport:,US,Football,Australia,Australian Rules Football,Canada,
What anime?,Tsuyu Asui,My Hero Academia,Bachira Meguru,Blue Lock,Gyokuyo,Apothecary Diaries
Song and Artist,The Dinner Song,晩餐歌 - tuki,Hundreds of millions of light years,幾億光年 - Omoinotake,Flower Song of the Monster,怪獣の花唄 - Vaundy