Category,Question1,Answer1,Question2,Answer2,Question3,Answer3,Question 4,Answer 4,Question 5,Answer 5
Name 3:,Jagariko flavors,,MLB teams,,Countries that start with C,,American states,,,
How many:,Legs on a spider,8,Othello game pieces,64,Landlocked prefectures,,Pokemon,1025,,
Which Prefecture?,Love Princess,Ehime,Mountain Pear,Yamanashi,Thorn Castle,Ibaraki,High Knowledge,Kochi,,
Full Name,OMG,Oh My God/Gosh,RPG,Roll-Playing Game,DIY,Do It Yourself,IDK,I Don't Know,,
Special Dates,November 11th,Pockey Day,March 9th,Thank You Day,May 30th,Gomi Zero Day,March 14th,Pi Day (π Day),,
Disney Sidekicks:,Flounder,Ariel,Pascal,Rapunzel,Pua-Heihei,Moana,Raja,Jasmine,,
#1 Ranking,Umaibo flavor,Corn Portage,Sanrio Character,Cinnamoroll,Manga,One Piece,Movie (world),Inside Out 2,,
Most popular sport:,US,Football,Australia,Australian Rules Football,Canada,,,,,
What anime?,Todoroki Shoto,My Hero Academia,Bachira Meguru,Blue Lock,Gyokuyo,Apohtecary Diaries,Tenshinhan,Dragon Ball,,
Song and Artist,The Dinner Song,晩餐歌 - tuki,Hundreds of millions of light years,幾億光年 - Omoinotake,Flower Song of the Monster,怪獣の花唄 - Vaundy,"Goodbye, see you again someday",さようならまたいつか　Genshi Yonezu,,
Video Game Enemy:,Ganondorf,Legend of Zelda,Sephiroth,Final Fantasy (VII),Bowser,Super Mario,Tom Nook,Animal Crossing,,